"12812: Kommunestyre- og fylkestingsvalget. Valgdeltakelse (prosent), etter region, alder, statistikkvariabel, fireårlig og kjønn"

"region";"alder";"Valgdeltakelse 2019 Begge kjønn"
"5031 Malvik";"18-19 år";66.4
"5032 Selbu";"18-19 år";56.7
"5033 Tydal";"18-19 år";:
"5034 Meråker";"18-19 år";59.3
"5035 Stjørdal";"18-19 år";58.3
"5036 Frosta";"18-19 år";53.6
"5037 Levanger";"18-19 år";57.6
"5038 Verdal";"18-19 år";52.9
"5041 Snåase - Snåsa";"18-19 år";61.5
"5042 Lierne";"18-19 år";41.2
"5043 Raarvihke - Røyrvik";"18-19 år";:
"5044 Namsskogan";"18-19 år";:
"5045 Grong";"18-19 år";54.4
"5046 Høylandet";"18-19 år";63.4
"5047 Overhalla";"18-19 år";47.9
"5049 Flatanger";"18-19 år";61.5
"5052 Leka";"18-19 år";:
"5053 Inderøy";"18-19 år";62.4
"5054 Indre Fosen";"18-19 år";63.1
"5055 Heim";"18-19 år";50.9
"5056 Hitra";"18-19 år";38.3
"5057 Ørland";"18-19 år";52.3
"5058 Åfjord";"18-19 år";52.0
"5059 Orkland";"18-19 år";49.0
"5060 Nærøysund";"18-19 år";46.8
"5061 Rindal";"18-19 år";61.4
"1804 Bodø";"18-19 år";54.5
"1806 Narvik";"18-19 år";47.7
"1811 Bindal";"18-19 år";65.6
"1812 Sømna";"18-19 år";62.0
"1813 Brønnøy";"18-19 år";54.0
"1815 Vega";"18-19 år";43.8
"1816 Vevelstad";"18-19 år";:
"1818 Herøy (Nordland)";"18-19 år";41.3
"1820 Alstahaug";"18-19 år";43.2
"1822 Leirfjord";"18-19 år";60.7
"1824 Vefsn";"18-19 år";52.7
"1825 Grane";"18-19 år";53.3
"1826 Hattfjelldal";"18-19 år";54.8
"1827 Dønna";"18-19 år";56.1
"1828 Nesna";"18-19 år";64.6
"1832 Hemnes";"18-19 år";50.5
"1833 Rana";"18-19 år";49.0
"1834 Lurøy";"18-19 år";60.4
"1835 Træna";"18-19 år";:
"1836 Rødøy";"18-19 år";66.1
"1837 Meløy";"18-19 år";51.6
"1838 Gildeskål";"18-19 år";31.0
"1839 Beiarn";"18-19 år";:
"1840 Saltdal";"18-19 år";48.0
"1841 Fauske - Fuossko";"18-19 år";49.4
"1845 Sørfold";"18-19 år";60.5
