"12812: Kommunestyre- og fylkestingsvalget. Valgdeltakelse (prosent), etter region, alder, utdanningsnivå, statistikkvariabel, fireårlig og kjønn"

"region";"alder";"utdanningsnivå";"Valgdeltakelse 2019 Menn";"Valgdeltakelse 2019 Kvinner"
"1146 Tysvær";"80 år eller eldre";"Videregående skolenivå";73.6;59.8
"1146 Tysvær";"80 år eller eldre";"Universitets- og høgskolenivå";80.0;68.8
"1146 Tysvær";"80 år eller eldre";"Uoppgitt eller ingen fullført utdanning";33.3;..
"1149 Karmøy";"Alder i alt";"Utdanningsnivå i alt";59.3;63.5
"1149 Karmøy";"Alder i alt";"Grunnskolenivå";43.9;49.5
"1149 Karmøy";"Alder i alt";"Videregående skolenivå";63.3;66.2
"1149 Karmøy";"Alder i alt";"Universitets- og høgskolenivå";76.6;77.6
"1149 Karmøy";"Alder i alt";"Uoppgitt eller ingen fullført utdanning";13.3;27.1
"1149 Karmøy";"18-19 år";"Utdanningsnivå i alt";47.2;54.7
"1149 Karmøy";"18-19 år";"Grunnskolenivå";47.4;55.3
"1149 Karmøy";"18-19 år";"Videregående skolenivå";.;..
"1149 Karmøy";"18-19 år";"Universitets- og høgskolenivå";.;.
"1149 Karmøy";"18-19 år";"Uoppgitt eller ingen fullført utdanning";20.0;14.3
"1149 Karmøy";"20-24 år";"Utdanningsnivå i alt";36.7;48.9
"1149 Karmøy";"20-24 år";"Grunnskolenivå";28.3;38.2
"1149 Karmøy";"20-24 år";"Videregående skolenivå";41.8;50.5
"1149 Karmøy";"20-24 år";"Universitets- og høgskolenivå";:;:
"1149 Karmøy";"20-24 år";"Uoppgitt eller ingen fullført utdanning";16.7;25.0
"1149 Karmøy";"25-44 år";"Utdanningsnivå i alt";50.4;58.2
"1149 Karmøy";"25-44 år";"Grunnskolenivå";31.2;36.3
"1149 Karmøy";"25-44 år";"Videregående skolenivå";53.3;56.8
"1149 Karmøy";"25-44 år";"Universitets- og høgskolenivå";68.1;73.1
"1149 Karmøy";"25-44 år";"Uoppgitt eller ingen fullført utdanning";11.7;26.8
"1149 Karmøy";"45-66 år";"Utdanningsnivå i alt";66.7;71.9
"1149 Karmøy";"45-66 år";"Grunnskolenivå";52.3;57.5
"1149 Karmøy";"45-66 år";"Videregående skolenivå";68.9;74.1
"1149 Karmøy";"45-66 år";"Universitets- og høgskolenivå";83.5;83.5
"1149 Karmøy";"45-66 år";"Uoppgitt eller ingen fullført utdanning";12.2;29.2
"1149 Karmøy";"67-79 år";"Utdanningsnivå i alt";77.3;73.4
"1149 Karmøy";"67-79 år";"Grunnskolenivå";61.5;62.1
"1149 Karmøy";"67-79 år";"Videregående skolenivå";81.2;77.0
"1149 Karmøy";"67-79 år";"Universitets- og høgskolenivå";86.8;87.8
"1149 Karmøy";"67-79 år";"Uoppgitt eller ingen fullført utdanning";23.1;26.3
"1149 Karmøy";"80 år eller eldre";"Utdanningsnivå i alt";61.1;45.0
"1149 Karmøy";"80 år eller eldre";"Grunnskolenivå";52.2;37.0
"1149 Karmøy";"80 år eller eldre";"Videregående skolenivå";64.4;53.8
"1149 Karmøy";"80 år eller eldre";"Universitets- og høgskolenivå";74.3;66.7
"1149 Karmøy";"80 år eller eldre";"Uoppgitt eller ingen fullført utdanning";37.5;25.0
"1151 Utsira";"Alder i alt";"Utdanningsnivå i alt";80.2;85.6
"1151 Utsira";"Alder i alt";"Grunnskolenivå";:;:
"1151 Utsira";"Alder i alt";"Videregående skolenivå";:;:
"1151 Utsira";"Alder i alt";"Universitets- og høgskolenivå";:;:
"1151 Utsira";"Alder i alt";"Uoppgitt eller ingen fullført utdanning";:;:
"1151 Utsira";"18-19 år";"Utdanningsnivå i alt";:;:
"1151 Utsira";"18-19 år";"Grunnskolenivå";:;:
"1151 Utsira";"18-19 år";"Videregående skolenivå";.;.
"1151 Utsira";"18-19 år";"Universitets- og høgskolenivå";.;.
"1151 Utsira";"18-19 år";"Uoppgitt eller ingen fullført utdanning";.;.
"1151 Utsira";"20-24 år";"Utdanningsnivå i alt";:;:
"1151 Utsira";"20-24 år";"Grunnskolenivå";:;:
"1151 Utsira";"20-24 år";"Videregående skolenivå";:;:
"1151 Utsira";"20-24 år";"Universitets- og høgskolenivå";:;:
"1151 Utsira";"20-24 år";"Uoppgitt eller ingen fullført utdanning";.;.
"1151 Utsira";"25-44 år";"Utdanningsnivå i alt";:;:
"1151 Utsira";"25-44 år";"Grunnskolenivå";:;:
"1151 Utsira";"25-44 år";"Videregående skolenivå";:;:
"1151 Utsira";"25-44 år";"Universitets- og høgskolenivå";:;:
"1151 Utsira";"25-44 år";"Uoppgitt eller ingen fullført utdanning";.;:
"1151 Utsira";"45-66 år";"Utdanningsnivå i alt";:;:
"1151 Utsira";"45-66 år";"Grunnskolenivå";:;:
"1151 Utsira";"45-66 år";"Videregående skolenivå";:;:
"1151 Utsira";"45-66 år";"Universitets- og høgskolenivå";:;:
"1151 Utsira";"45-66 år";"Uoppgitt eller ingen fullført utdanning";:;.
"1151 Utsira";"67-79 år";"Utdanningsnivå i alt";:;:
"1151 Utsira";"67-79 år";"Grunnskolenivå";:;:
"1151 Utsira";"67-79 år";"Videregående skolenivå";:;:
"1151 Utsira";"67-79 år";"Universitets- og høgskolenivå";:;:
"1151 Utsira";"67-79 år";"Uoppgitt eller ingen fullført utdanning";.;.
"1151 Utsira";"80 år eller eldre";"Utdanningsnivå i alt";:;:
"1151 Utsira";"80 år eller eldre";"Grunnskolenivå";:;:
"1151 Utsira";"80 år eller eldre";"Videregående skolenivå";:;:
"1151 Utsira";"80 år eller eldre";"Universitets- og høgskolenivå";.;.
"1151 Utsira";"80 år eller eldre";"Uoppgitt eller ingen fullført utdanning";.;.
"1160 Vindafjord";"Alder i alt";"Utdanningsnivå i alt";60.2;67.2
"1160 Vindafjord";"Alder i alt";"Grunnskolenivå";48.0;49.9
"1160 Vindafjord";"Alder i alt";"Videregående skolenivå";67.2;71.9
"1160 Vindafjord";"Alder i alt";"Universitets- og høgskolenivå";73.1;80.5
"1160 Vindafjord";"Alder i alt";"Uoppgitt eller ingen fullført utdanning";11.0;18.6
"1160 Vindafjord";"18-19 år";"Utdanningsnivå i alt";57.5;50.8
"1160 Vindafjord";"18-19 år";"Grunnskolenivå";57.5;50.8
"1160 Vindafjord";"18-19 år";"Videregående skolenivå";.;.
"1160 Vindafjord";"18-19 år";"Universitets- og høgskolenivå";.;.
"1160 Vindafjord";"18-19 år";"Uoppgitt eller ingen fullført utdanning";.;.
"1160 Vindafjord";"20-24 år";"Utdanningsnivå i alt";41.6;53.4
"1160 Vindafjord";"20-24 år";"Grunnskolenivå";31.3;33.3
"1160 Vindafjord";"20-24 år";"Videregående skolenivå";47.4;51.1
"1160 Vindafjord";"20-24 år";"Universitets- og høgskolenivå";:;:
"1160 Vindafjord";"20-24 år";"Uoppgitt eller ingen fullført utdanning";50.0;..
"1160 Vindafjord";"25-44 år";"Utdanningsnivå i alt";48.8;60.2
"1160 Vindafjord";"25-44 år";"Grunnskolenivå";29.9;35.8
"1160 Vindafjord";"25-44 år";"Videregående skolenivå";57.2;61.3
"1160 Vindafjord";"25-44 år";"Universitets- og høgskolenivå";63.0;74.3
"1160 Vindafjord";"25-44 år";"Uoppgitt eller ingen fullført utdanning";9.8;18.6
"1160 Vindafjord";"45-66 år";"Utdanningsnivå i alt";66.1;76.9
"1160 Vindafjord";"45-66 år";"Grunnskolenivå";49.3;62.2
"1160 Vindafjord";"45-66 år";"Videregående skolenivå";72.9;80.2
"1160 Vindafjord";"45-66 år";"Universitets- og høgskolenivå";78.9;87.0
"1160 Vindafjord";"45-66 år";"Uoppgitt eller ingen fullført utdanning";10.5;20.0
"1160 Vindafjord";"67-79 år";"Utdanningsnivå i alt";82.3;79.0
"1160 Vindafjord";"67-79 år";"Grunnskolenivå";73.2;62.6
"1160 Vindafjord";"67-79 år";"Videregående skolenivå";83.5;83.5
"1160 Vindafjord";"67-79 år";"Universitets- og høgskolenivå";91.8;86.8
"1160 Vindafjord";"67-79 år";"Uoppgitt eller ingen fullført utdanning";100.0;25.0
"1160 Vindafjord";"80 år eller eldre";"Utdanningsnivå i alt";62.6;52.5
"1160 Vindafjord";"80 år eller eldre";"Grunnskolenivå";44.9;38.5
"1160 Vindafjord";"80 år eller eldre";"Videregående skolenivå";74.7;60.1
"1160 Vindafjord";"80 år eller eldre";"Universitets- og høgskolenivå";88.9;86.4
"1160 Vindafjord";"80 år eller eldre";"Uoppgitt eller ingen fullført utdanning";..;..
"4601 Bergen";"Alder i alt";"Utdanningsnivå i alt";65.8;70.4
"4601 Bergen";"Alder i alt";"Grunnskolenivå";51.5;57.1
"4601 Bergen";"Alder i alt";"Videregående skolenivå";67.1;70.4
"4601 Bergen";"Alder i alt";"Universitets- og høgskolenivå";79.8;80.7
"4601 Bergen";"Alder i alt";"Uoppgitt eller ingen fullført utdanning";16.5;25.6
"4601 Bergen";"18-19 år";"Utdanningsnivå i alt";60.5;71.9
"4601 Bergen";"18-19 år";"Grunnskolenivå";61.6;72.7
"4601 Bergen";"18-19 år";"Videregående skolenivå";33.3;66.7
"4601 Bergen";"18-19 år";"Universitets- og høgskolenivå";.;.
"4601 Bergen";"18-19 år";"Uoppgitt eller ingen fullført utdanning";8.2;14.3
"4601 Bergen";"20-24 år";"Utdanningsnivå i alt";51.6;60.5
"4601 Bergen";"20-24 år";"Grunnskolenivå";39.7;44.2
"4601 Bergen";"20-24 år";"Videregående skolenivå";56.0;63.6
"4601 Bergen";"20-24 år";"Universitets- og høgskolenivå";:;:
"4601 Bergen";"20-24 år";"Uoppgitt eller ingen fullført utdanning";18.5;22.6
"4601 Bergen";"25-44 år";"Utdanningsnivå i alt";57.6;65.8
"4601 Bergen";"25-44 år";"Grunnskolenivå";39.1;44.9
"4601 Bergen";"25-44 år";"Videregående skolenivå";56.5;59.1
"4601 Bergen";"25-44 år";"Universitets- og høgskolenivå";74.1;76.8
"4601 Bergen";"25-44 år";"Uoppgitt eller ingen fullført utdanning";15.7;25.2
"4601 Bergen";"45-66 år";"Utdanningsnivå i alt";72.8;76.9
"4601 Bergen";"45-66 år";"Grunnskolenivå";59.0;61.0
"4601 Bergen";"45-66 år";"Videregående skolenivå";73.0;76.3
"4601 Bergen";"45-66 år";"Universitets- og høgskolenivå";84.9;86.1
"4601 Bergen";"45-66 år";"Uoppgitt eller ingen fullført utdanning";16.2;25.1
"4601 Bergen";"67-79 år";"Utdanningsnivå i alt";83.3;80.0
"4601 Bergen";"67-79 år";"Grunnskolenivå";72.3;68.1
"4601 Bergen";"67-79 år";"Videregående skolenivå";84.0;81.3
"4601 Bergen";"67-79 år";"Universitets- og høgskolenivå";89.8;89.9
"4601 Bergen";"67-79 år";"Uoppgitt eller ingen fullført utdanning";30.6;38.5
"4601 Bergen";"80 år eller eldre";"Utdanningsnivå i alt";69.4;58.3
"4601 Bergen";"80 år eller eldre";"Grunnskolenivå";56.9;48.7
"4601 Bergen";"80 år eller eldre";"Videregående skolenivå";71.2;62.8
"4601 Bergen";"80 år eller eldre";"Universitets- og høgskolenivå";80.3;72.5
"4601 Bergen";"80 år eller eldre";"Uoppgitt eller ingen fullført utdanning";17.1;28.0
"4602 Kinn";"Alder i alt";"Utdanningsnivå i alt";58.7;67.0
"4602 Kinn";"Alder i alt";"Grunnskolenivå";46.8;52.2
"4602 Kinn";"Alder i alt";"Videregående skolenivå";62.1;70.0
"4602 Kinn";"Alder i alt";"Universitets- og høgskolenivå";76.7;79.7
"4602 Kinn";"Alder i alt";"Uoppgitt eller ingen fullført utdanning";14.5;28.3
"4602 Kinn";"18-19 år";"Utdanningsnivå i alt";45.8;52.1
"4602 Kinn";"18-19 år";"Grunnskolenivå";46.7;52.4
"4602 Kinn";"18-19 år";"Videregående skolenivå";.;.
"4602 Kinn";"18-19 år";"Universitets- og høgskolenivå";.;.
"4602 Kinn";"18-19 år";"Uoppgitt eller ingen fullført utdanning";..;33.3
"4602 Kinn";"20-24 år";"Utdanningsnivå i alt";33.4;46.9
"4602 Kinn";"20-24 år";"Grunnskolenivå";28.9;37.7
"4602 Kinn";"20-24 år";"Videregående skolenivå";33.1;47.0
"4602 Kinn";"20-24 år";"Universitets- og høgskolenivå";:;:
"4602 Kinn";"20-24 år";"Uoppgitt eller ingen fullført utdanning";16.7;12.5
"4602 Kinn";"25-44 år";"Utdanningsnivå i alt";47.6;60.6
"4602 Kinn";"25-44 år";"Grunnskolenivå";34.1;44.7
"4602 Kinn";"25-44 år";"Videregående skolenivå";50.0;61.2
"4602 Kinn";"25-44 år";"Universitets- og høgskolenivå";66.5;73.1
"4602 Kinn";"25-44 år";"Uoppgitt eller ingen fullført utdanning";11.0;23.2
"4602 Kinn";"45-66 år";"Utdanningsnivå i alt";68.3;78.1
"4602 Kinn";"45-66 år";"Grunnskolenivå";57.5;63.5
"4602 Kinn";"45-66 år";"Videregående skolenivå";70.7;79.5
"4602 Kinn";"45-66 år";"Universitets- og høgskolenivå";83.4;87.4
"4602 Kinn";"45-66 år";"Uoppgitt eller ingen fullført utdanning";18.3;42.9
"4602 Kinn";"67-79 år";"Utdanningsnivå i alt";74.7;75.1
"4602 Kinn";"67-79 år";"Grunnskolenivå";60.0;57.3
"4602 Kinn";"67-79 år";"Videregående skolenivå";76.7;79.0
"4602 Kinn";"67-79 år";"Universitets- og høgskolenivå";86.6;89.1
"4602 Kinn";"67-79 år";"Uoppgitt eller ingen fullført utdanning";22.2;46.7
"4602 Kinn";"80 år eller eldre";"Utdanningsnivå i alt";58.7;49.4
"4602 Kinn";"80 år eller eldre";"Grunnskolenivå";50.4;42.6
"4602 Kinn";"80 år eller eldre";"Videregående skolenivå";63.6;52.7
"4602 Kinn";"80 år eller eldre";"Universitets- og høgskolenivå";75.0;72.5
"4602 Kinn";"80 år eller eldre";"Uoppgitt eller ingen fullført utdanning";40.0;..
"4611 Etne";"Alder i alt";"Utdanningsnivå i alt";65.7;75.1
"4611 Etne";"Alder i alt";"Grunnskolenivå";52.6;63.8
"4611 Etne";"Alder i alt";"Videregående skolenivå";71.2;78.3
"4611 Etne";"Alder i alt";"Universitets- og høgskolenivå";81.7;83.3
"4611 Etne";"Alder i alt";"Uoppgitt eller ingen fullført utdanning";11.4;31.4
"4611 Etne";"18-19 år";"Utdanningsnivå i alt";50.0;62.5
"4611 Etne";"18-19 år";"Grunnskolenivå";50.0;62.5
"4611 Etne";"18-19 år";"Videregående skolenivå";.;.
"4611 Etne";"18-19 år";"Universitets- og høgskolenivå";.;.
"4611 Etne";"18-19 år";"Uoppgitt eller ingen fullført utdanning";.;.
"4611 Etne";"20-24 år";"Utdanningsnivå i alt";53.3;63.5
"4611 Etne";"20-24 år";"Grunnskolenivå";36.4;42.1
"4611 Etne";"20-24 år";"Videregående skolenivå";63.4;67.3
"4611 Etne";"20-24 år";"Universitets- og høgskolenivå";:;:
"4611 Etne";"20-24 år";"Uoppgitt eller ingen fullført utdanning";.;..
"4611 Etne";"25-44 år";"Utdanningsnivå i alt";52.7;68.7
"4611 Etne";"25-44 år";"Grunnskolenivå";34.7;51.2
"4611 Etne";"25-44 år";"Videregående skolenivå";59.1;67.9
"4611 Etne";"25-44 år";"Universitets- og høgskolenivå";71.6;79.0
"4611 Etne";"25-44 år";"Uoppgitt eller ingen fullført utdanning";14.6;25.8
"4611 Etne";"45-66 år";"Utdanningsnivå i alt";71.8;83.6
"4611 Etne";"45-66 år";"Grunnskolenivå";52.0;75.8
"4611 Etne";"45-66 år";"Videregående skolenivå";76.3;87.4
"4611 Etne";"45-66 år";"Universitets- og høgskolenivå";89.0;87.1
"4611 Etne";"45-66 år";"Uoppgitt eller ingen fullført utdanning";4.6;31.3
"4611 Etne";"67-79 år";"Utdanningsnivå i alt";82.8;82.2
"4611 Etne";"67-79 år";"Grunnskolenivå";80.3;67.7
"4611 Etne";"67-79 år";"Videregående skolenivå";83.4;84.4
"4611 Etne";"67-79 år";"Universitets- og høgskolenivå";84.1;93.6
"4611 Etne";"67-79 år";"Uoppgitt eller ingen fullført utdanning";.;100.0
"4611 Etne";"80 år eller eldre";"Utdanningsnivå i alt";70.2;61.4
"4611 Etne";"80 år eller eldre";"Grunnskolenivå";64.6;57.1
"4611 Etne";"80 år eller eldre";"Videregående skolenivå";72.7;62.2
"4611 Etne";"80 år eller eldre";"Universitets- og høgskolenivå";:;:
"4611 Etne";"80 år eller eldre";"Uoppgitt eller ingen fullført utdanning";.;.
"4612 Sveio";"Alder i alt";"Utdanningsnivå i alt";64.4;70.6
"4612 Sveio";"Alder i alt";"Grunnskolenivå";47.4;55.8
"4612 Sveio";"Alder i alt";"Videregående skolenivå";68.0;73.5
"4612 Sveio";"Alder i alt";"Universitets- og høgskolenivå";82.6;81.3
"4612 Sveio";"Alder i alt";"Uoppgitt eller ingen fullført utdanning";29.5;36.5
"4612 Sveio";"18-19 år";"Utdanningsnivå i alt";55.4;59.0
"4612 Sveio";"18-19 år";"Grunnskolenivå";55.4;59.0
"4612 Sveio";"18-19 år";"Videregående skolenivå";.;.
"4612 Sveio";"18-19 år";"Universitets- og høgskolenivå";.;.
"4612 Sveio";"18-19 år";"Uoppgitt eller ingen fullført utdanning";.;.
"4612 Sveio";"20-24 år";"Utdanningsnivå i alt";45.8;57.6
"4612 Sveio";"20-24 år";"Grunnskolenivå";28.3;51.4
"4612 Sveio";"20-24 år";"Videregående skolenivå";54.4;58.1
"4612 Sveio";"20-24 år";"Universitets- og høgskolenivå";:;:
"4612 Sveio";"20-24 år";"Uoppgitt eller ingen fullført utdanning";100.0;..
"4612 Sveio";"25-44 år";"Utdanningsnivå i alt";56.9;65.3
"4612 Sveio";"25-44 år";"Grunnskolenivå";36.4;46.5
"4612 Sveio";"25-44 år";"Videregående skolenivå";58.6;61.7
"4612 Sveio";"25-44 år";"Universitets- og høgskolenivå";80.3;77.0
"4612 Sveio";"25-44 år";"Uoppgitt eller ingen fullført utdanning";28.8;40.6
"4612 Sveio";"45-66 år";"Utdanningsnivå i alt";69.1;76.7
"4612 Sveio";"45-66 år";"Grunnskolenivå";49.0;58.4
"4612 Sveio";"45-66 år";"Videregående skolenivå";72.8;78.4
"4612 Sveio";"45-66 år";"Universitets- og høgskolenivå";82.4;86.2
"4612 Sveio";"45-66 år";"Uoppgitt eller ingen fullført utdanning";26.1;60.0
"4612 Sveio";"67-79 år";"Utdanningsnivå i alt";78.9;82.3
"4612 Sveio";"67-79 år";"Grunnskolenivå";65.8;73.3
"4612 Sveio";"67-79 år";"Videregående skolenivå";79.9;86.5
"4612 Sveio";"67-79 år";"Universitets- og høgskolenivå";93.8;93.5
"4612 Sveio";"67-79 år";"Uoppgitt eller ingen fullført utdanning";40.0;..
"4612 Sveio";"80 år eller eldre";"Utdanningsnivå i alt";70.9;60.0
"4612 Sveio";"80 år eller eldre";"Grunnskolenivå";57.1;39.0
"4612 Sveio";"80 år eller eldre";"Videregående skolenivå";76.5;76.7
"4612 Sveio";"80 år eller eldre";"Universitets- og høgskolenivå";:;:
"4612 Sveio";"80 år eller eldre";"Uoppgitt eller ingen fullført utdanning";.;.
"4613 Bømlo";"Alder i alt";"Utdanningsnivå i alt";66.2;72.3
"4613 Bømlo";"Alder i alt";"Grunnskolenivå";52.2;59.0
"4613 Bømlo";"Alder i alt";"Videregående skolenivå";70.0;75.5
"4613 Bømlo";"Alder i alt";"Universitets- og høgskolenivå";81.4;83.6
"4613 Bømlo";"Alder i alt";"Uoppgitt eller ingen fullført utdanning";18.8;34.6
"4613 Bømlo";"18-19 år";"Utdanningsnivå i alt";55.8;63.6
"4613 Bømlo";"18-19 år";"Grunnskolenivå";56.7;64.3
"4613 Bømlo";"18-19 år";"Videregående skolenivå";.;.
"4613 Bømlo";"18-19 år";"Universitets- og høgskolenivå";.;.
"4613 Bømlo";"18-19 år";"Uoppgitt eller ingen fullført utdanning";..;..
"4613 Bømlo";"20-24 år";"Utdanningsnivå i alt";48.8;58.4
"4613 Bømlo";"20-24 år";"Grunnskolenivå";45.0;48.6
"4613 Bømlo";"20-24 år";"Videregående skolenivå";51.4;59.4
"4613 Bømlo";"20-24 år";"Universitets- og høgskolenivå";:;:
"4613 Bømlo";"20-24 år";"Uoppgitt eller ingen fullført utdanning";..;..
"4613 Bømlo";"25-44 år";"Utdanningsnivå i alt";55.9;68.0
"4613 Bømlo";"25-44 år";"Grunnskolenivå";35.7;44.8
"4613 Bømlo";"25-44 år";"Videregående skolenivå";59.1;64.9
"4613 Bømlo";"25-44 år";"Universitets- og høgskolenivå";75.1;81.6
"4613 Bømlo";"25-44 år";"Uoppgitt eller ingen fullført utdanning";13.9;34.7
"4613 Bømlo";"45-66 år";"Utdanningsnivå i alt";73.3;80.4
"4613 Bømlo";"45-66 år";"Grunnskolenivå";57.3;69.0
"4613 Bømlo";"45-66 år";"Videregående skolenivå";76.7;83.2
"4613 Bømlo";"45-66 år";"Universitets- og høgskolenivå";84.4;88.1
"4613 Bømlo";"45-66 år";"Uoppgitt eller ingen fullført utdanning";20.0;36.2
"4613 Bømlo";"67-79 år";"Utdanningsnivå i alt";82.1;81.9
"4613 Bømlo";"67-79 år";"Grunnskolenivå";66.2;72.1
"4613 Bømlo";"67-79 år";"Videregående skolenivå";83.8;87.1
"4613 Bømlo";"67-79 år";"Universitets- og høgskolenivå";93.5;83.6
"4613 Bømlo";"67-79 år";"Uoppgitt eller ingen fullført utdanning";63.6;50.0
"4613 Bømlo";"80 år eller eldre";"Utdanningsnivå i alt";70.7;51.2
"4613 Bømlo";"80 år eller eldre";"Grunnskolenivå";61.6;43.0
"4613 Bømlo";"80 år eller eldre";"Videregående skolenivå";77.4;61.0
"4613 Bømlo";"80 år eller eldre";"Universitets- og høgskolenivå";79.0;70.0
"4613 Bømlo";"80 år eller eldre";"Uoppgitt eller ingen fullført utdanning";.;.
"4614 Stord";"Alder i alt";"Utdanningsnivå i alt";61.4;68.0
"4614 Stord";"Alder i alt";"Grunnskolenivå";44.2;50.4
"4614 Stord";"Alder i alt";"Videregående skolenivå";63.1;69.3
"4614 Stord";"Alder i alt";"Universitets- og høgskolenivå";80.7;80.1
"4614 Stord";"Alder i alt";"Uoppgitt eller ingen fullført utdanning";14.1;30.1
"4614 Stord";"18-19 år";"Utdanningsnivå i alt";47.8;53.2
"4614 Stord";"18-19 år";"Grunnskolenivå";48.5;53.7
"4614 Stord";"18-19 år";"Videregående skolenivå";..;..
"4614 Stord";"18-19 år";"Universitets- og høgskolenivå";.;.
"4614 Stord";"18-19 år";"Uoppgitt eller ingen fullført utdanning";..;..
"4614 Stord";"20-24 år";"Utdanningsnivå i alt";37.7;50.3
"4614 Stord";"20-24 år";"Grunnskolenivå";25.4;33.3
"4614 Stord";"20-24 år";"Videregående skolenivå";41.7;55.5
"4614 Stord";"20-24 år";"Universitets- og høgskolenivå";:;:
"4614 Stord";"20-24 år";"Uoppgitt eller ingen fullført utdanning";20.0;7.7
"4614 Stord";"25-44 år";"Utdanningsnivå i alt";50.7;61.3
"4614 Stord";"25-44 år";"Grunnskolenivå";34.6;42.5
"4614 Stord";"25-44 år";"Videregående skolenivå";52.0;54.6
"4614 Stord";"25-44 år";"Universitets- og høgskolenivå";70.3;75.0
"4614 Stord";"25-44 år";"Uoppgitt eller ingen fullført utdanning";15.3;28.2
"4614 Stord";"45-66 år";"Utdanningsnivå i alt";69.7;76.5
"4614 Stord";"45-66 år";"Grunnskolenivå";51.2;54.7
"4614 Stord";"45-66 år";"Videregående skolenivå";70.5;77.3
"4614 Stord";"45-66 år";"Universitets- og høgskolenivå";86.2;86.3
"4614 Stord";"45-66 år";"Uoppgitt eller ingen fullført utdanning";8.9;40.7
"4614 Stord";"67-79 år";"Utdanningsnivå i alt";81.1;79.7
"4614 Stord";"67-79 år";"Grunnskolenivå";75.2;66.1
"4614 Stord";"67-79 år";"Videregående skolenivå";78.3;81.3
"4614 Stord";"67-79 år";"Universitets- og høgskolenivå";90.7;88.4
"4614 Stord";"67-79 år";"Uoppgitt eller ingen fullført utdanning";37.5;33.3
"4614 Stord";"80 år eller eldre";"Utdanningsnivå i alt";71.3;59.4
"4614 Stord";"80 år eller eldre";"Grunnskolenivå";55.7;46.8
"4614 Stord";"80 år eller eldre";"Videregående skolenivå";74.1;67.1
"4614 Stord";"80 år eller eldre";"Universitets- og høgskolenivå";86.4;72.3
"4614 Stord";"80 år eller eldre";"Uoppgitt eller ingen fullført utdanning";..;..
"4615 Fitjar";"Alder i alt";"Utdanningsnivå i alt";68.3;73.4
"4615 Fitjar";"Alder i alt";"Grunnskolenivå";58.0;62.8
"4615 Fitjar";"Alder i alt";"Videregående skolenivå";72.9;75.1
"4615 Fitjar";"Alder i alt";"Universitets- og høgskolenivå";81.5;83.5
"4615 Fitjar";"Alder i alt";"Uoppgitt eller ingen fullført utdanning";12.7;25.0
"4615 Fitjar";"18-19 år";"Utdanningsnivå i alt";47.8;70.0
"4615 Fitjar";"18-19 år";"Grunnskolenivå";47.8;70.0
"4615 Fitjar";"18-19 år";"Videregående skolenivå";.;.
"4615 Fitjar";"18-19 år";"Universitets- og høgskolenivå";.;.
"4615 Fitjar";"18-19 år";"Uoppgitt eller ingen fullført utdanning";.;.
"4615 Fitjar";"20-24 år";"Utdanningsnivå i alt";51.0;57.9
"4615 Fitjar";"20-24 år";"Grunnskolenivå";65.8;62.5
"4615 Fitjar";"20-24 år";"Videregående skolenivå";43.1;55.4
"4615 Fitjar";"20-24 år";"Universitets- og høgskolenivå";:;:
"4615 Fitjar";"20-24 år";"Uoppgitt eller ingen fullført utdanning";..;.
"4615 Fitjar";"25-44 år";"Utdanningsnivå i alt";57.9;65.9
"4615 Fitjar";"25-44 år";"Grunnskolenivå";36.9;44.4
"4615 Fitjar";"25-44 år";"Videregående skolenivå";62.6;69.8
"4615 Fitjar";"25-44 år";"Universitets- og høgskolenivå";76.6;78.0
"4615 Fitjar";"25-44 år";"Uoppgitt eller ingen fullført utdanning";9.5;23.5
"4615 Fitjar";"45-66 år";"Utdanningsnivå i alt";75.3;82.8
"4615 Fitjar";"45-66 år";"Grunnskolenivå";68.0;77.0
"4615 Fitjar";"45-66 år";"Videregående skolenivå";80.4;81.5
"4615 Fitjar";"45-66 år";"Universitets- og høgskolenivå";84.8;91.2
"4615 Fitjar";"45-66 år";"Uoppgitt eller ingen fullført utdanning";17.9;33.3
"4615 Fitjar";"67-79 år";"Utdanningsnivå i alt";85.1;85.6
"4615 Fitjar";"67-79 år";"Grunnskolenivå";70.0;75.8
"4615 Fitjar";"67-79 år";"Videregående skolenivå";90.6;88.7
"4615 Fitjar";"67-79 år";"Universitets- og høgskolenivå";90.2;88.4
"4615 Fitjar";"67-79 år";"Uoppgitt eller ingen fullført utdanning";..;..
"4615 Fitjar";"80 år eller eldre";"Utdanningsnivå i alt";75.0;56.5
"4615 Fitjar";"80 år eller eldre";"Grunnskolenivå";78.6;46.0
"4615 Fitjar";"80 år eller eldre";"Videregående skolenivå";79.2;60.9
"4615 Fitjar";"80 år eller eldre";"Universitets- og høgskolenivå";:;:
"4615 Fitjar";"80 år eller eldre";"Uoppgitt eller ingen fullført utdanning";..;.
"4616 Tysnes";"Alder i alt";"Utdanningsnivå i alt";68.4;74.5
"4616 Tysnes";"Alder i alt";"Grunnskolenivå";53.5;65.6
"4616 Tysnes";"Alder i alt";"Videregående skolenivå";72.1;76.6
"4616 Tysnes";"Alder i alt";"Universitets- og høgskolenivå";82.7;83.3
"4616 Tysnes";"Alder i alt";"Uoppgitt eller ingen fullført utdanning";32.4;32.3
"4616 Tysnes";"18-19 år";"Utdanningsnivå i alt";55.6;36.7
"4616 Tysnes";"18-19 år";"Grunnskolenivå";55.6;36.7
"4616 Tysnes";"18-19 år";"Videregående skolenivå";.;.
