"12812: Kommunestyre- og fylkestingsvalget. Valgdeltakelse (prosent), etter region, alder, utdanningsnivå, statistikkvariabel, fireårlig og kjønn"

"region";"alder";"utdanningsnivå";"Valgdeltakelse 2019 Menn";"Valgdeltakelse 2019 Kvinner"
"3005 Drammen";"18-19 år";"Videregående skolenivå";50.0;..
"3005 Drammen";"18-19 år";"Universitets- og høgskolenivå";.;.
"3005 Drammen";"18-19 år";"Uoppgitt eller ingen fullført utdanning";10.0;..
"3005 Drammen";"20-24 år";"Utdanningsnivå i alt";37.4;48.5
"3005 Drammen";"20-24 år";"Grunnskolenivå";30.5;37.2
"3005 Drammen";"20-24 år";"Videregående skolenivå";42.0;52.5
"3005 Drammen";"20-24 år";"Universitets- og høgskolenivå";:;:
"3005 Drammen";"20-24 år";"Uoppgitt eller ingen fullført utdanning";18.2;7.8
"3005 Drammen";"25-44 år";"Utdanningsnivå i alt";46.8;53.5
"3005 Drammen";"25-44 år";"Grunnskolenivå";32.0;37.0
"3005 Drammen";"25-44 år";"Videregående skolenivå";48.3;50.4
"3005 Drammen";"25-44 år";"Universitets- og høgskolenivå";67.8;68.5
"3005 Drammen";"25-44 år";"Uoppgitt eller ingen fullført utdanning";14.3;22.2
"3005 Drammen";"45-66 år";"Utdanningsnivå i alt";66.4;69.9
"3005 Drammen";"45-66 år";"Grunnskolenivå";53.6;53.5
"3005 Drammen";"45-66 år";"Videregående skolenivå";69.5;72.8
"3005 Drammen";"45-66 år";"Universitets- og høgskolenivå";81.4;82.2
"3005 Drammen";"45-66 år";"Uoppgitt eller ingen fullført utdanning";16.3;27.0
"3005 Drammen";"67-79 år";"Utdanningsnivå i alt";77.5;75.6
"3005 Drammen";"67-79 år";"Grunnskolenivå";63.4;62.6
"3005 Drammen";"67-79 år";"Videregående skolenivå";80.5;80.0
"3005 Drammen";"67-79 år";"Universitets- og høgskolenivå";88.7;88.9
"3005 Drammen";"67-79 år";"Uoppgitt eller ingen fullført utdanning";24.0;15.0
"3005 Drammen";"80 år eller eldre";"Utdanningsnivå i alt";68.7;57.7
"3005 Drammen";"80 år eller eldre";"Grunnskolenivå";56.8;46.8
"3005 Drammen";"80 år eller eldre";"Videregående skolenivå";72.6;65.2
"3005 Drammen";"80 år eller eldre";"Universitets- og høgskolenivå";79.1;75.0
"3005 Drammen";"80 år eller eldre";"Uoppgitt eller ingen fullført utdanning";32.1;13.5
"3006 Kongsberg";"Alder i alt";"Utdanningsnivå i alt";59.4;64.3
"3006 Kongsberg";"Alder i alt";"Grunnskolenivå";41.4;49.7
"3006 Kongsberg";"Alder i alt";"Videregående skolenivå";60.0;65.8
"3006 Kongsberg";"Alder i alt";"Universitets- og høgskolenivå";72.9;74.5
"3006 Kongsberg";"Alder i alt";"Uoppgitt eller ingen fullført utdanning";17.8;25.6
"3006 Kongsberg";"18-19 år";"Utdanningsnivå i alt";53.6;62.7
"3006 Kongsberg";"18-19 år";"Grunnskolenivå";54.7;63.0
"3006 Kongsberg";"18-19 år";"Videregående skolenivå";50.0;100.0
"3006 Kongsberg";"18-19 år";"Universitets- og høgskolenivå";.;.
"3006 Kongsberg";"18-19 år";"Uoppgitt eller ingen fullført utdanning";..;..
"3006 Kongsberg";"20-24 år";"Utdanningsnivå i alt";35.3;45.2
"3006 Kongsberg";"20-24 år";"Grunnskolenivå";27.2;32.8
"3006 Kongsberg";"20-24 år";"Videregående skolenivå";39.9;49.4
"3006 Kongsberg";"20-24 år";"Universitets- og høgskolenivå";:;:
"3006 Kongsberg";"20-24 år";"Uoppgitt eller ingen fullført utdanning";7.7;..
